row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.SocialEconomic,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.SocialEconomic,ClimateChange.ExtremeEvents
94,"AL, Calhoun, 01015001600",1015001600,"+33.6982109,-085.8652855",0.651441437,0.82192938,0.585220764,0.784428836,0.482092464,0.675570447,0.758012153,0.452836014
95,"AL, Calhoun, 01015001700",1015001700,"+33.7273426,-085.8442943",0.639828628,0.761524287,0.630952565,0.795308599,0.383169544,0.689261296,0.76281625,0.455767854
96,"AL, Calhoun, 01015001800",1015001800,"+33.7661796,-085.7864612",0.60709924,0.692744819,0.558791806,0.815575593,0.286906163,0.681544238,0.752008392,0.46212367
97,"AL, Calhoun, 01015002000",1015002000,"+33.7382668,-085.6812934",0.594291764,0.633262546,0.417191416,0.749142795,0.356192462,0.732859741,0.796993077,0.474400309
98,"AL, Calhoun, 01015002101",1015002101,"+33.8369688,-085.7723498",0.587761119,0.627669683,0.561133685,0.71688991,0.314803958,0.696942236,0.744908339,0.45198002
99,"AL, Calhoun, 01015002102",1015002102,"+33.8356877,-085.7377431",0.545089169,0.599595955,0.374254814,0.629409786,0.282452723,0.736076375,0.738213614,0.455620912
100,"AL, Calhoun, 01015002103",1015002103,"+33.7968202,-085.7593266",0.616711572,0.708675345,0.625754151,0.758499252,0.291857459,0.718139454,0.756336432,0.457718914
101,"AL, Calhoun, 01015002200",1015002200,"+33.8952637,-085.5983598",0.591987602,0.770406569,0.542196148,0.671530739,0.235348678,0.744517354,0.731116282,0.448797447
102,"AL, Calhoun, 01015002300",1015002300,"+33.9376551,-085.6715535",0.643975569,0.825528871,0.634575091,0.794591069,0.312845567,0.705367778,0.79219442,0.442726185
103,"AL, Calhoun, 01015002400",1015002400,"+33.8750936,-085.7793152",0.615699791,0.773465233,0.478731794,0.790307402,0.304059331,0.708946421,0.793153336,0.461235022
104,"AL, Calhoun, 01015002501",1015002501,"+33.7837754,-085.9002899",0.579580443,0.641926664,0.410141701,0.742020243,0.349622169,0.681333769,0.764237621,0.46778093
105,"AL, Calhoun, 01015002502",1015002502,"+33.8908485,-085.8860424",0.615502006,0.721254319,0.561499595,0.807421782,0.337263101,0.669167835,0.74916565,0.462741759
106,"AL, Calhoun, 01015002600",1015002600,"+33.7687621,-086.0372827",0.596837754,0.749920857,0.423948257,0.73913775,0.350789184,0.684745575,0.740792484,0.488530172
107,"AL, Calhoun, 01015981901",1015981901,"+33.6467452,-085.9690161",0.640042295,0.767827543,0.678357086,0.76508832,0.453020748,0.69144593,0.657380462,0.467175977
108,"AL, Calhoun, 01015981902",1015981902,"+33.7188196,-085.9523544",0.623947843,0.811932045,0.677456666,0.608743243,0.481644235,0.682324717,0.632294968,0.473239029
109,"AL, Calhoun, 01015981903",1015981903,"+33.7068966,-085.7503208",0.594080799,0.80423792,0.637495644,0.724392695,0.211546406,0.715503047,0.603764179,0.461625701
110,"AL, Chambers, 01017953800",1017953800,"+33.0302682,-085.3867838",0.594147606,0.821743662,0.552022182,0.691975938,0.294336764,0.665607447,0.648068623,0.485278625
111,"AL, Chambers, 01017953900",1017953900,"+32.9119594,-085.2737884",0.574178571,0.779791268,0.502914484,0.714126618,0.274069923,0.663086487,0.612500349,0.472760871
112,"AL, Chambers, 01017954000",1017954000,"+32.8660782,-085.4616055",0.591567893,0.787120546,0.578037188,0.624380905,0.313074125,0.672700615,0.671457993,0.494203879
113,"AL, Chambers, 01017954200",1017954200,"+32.8341400,-085.2678517",0.59293771,0.841609279,0.535837691,0.704253379,0.335106067,0.65127739,0.606197352,0.47628281
114,"AL, Chambers, 01017954300",1017954300,"+32.7766468,-085.2734917",0.597917424,0.767202402,0.514938856,0.658621312,0.4514753,0.671694258,0.639393501,0.482096341
115,"AL, Chambers, 01017954400",1017954400,"+32.8476030,-085.1968765",0.594009049,0.842638305,0.543170334,0.631887083,0.488716563,0.668528942,0.546449453,0.436672662
116,"AL, Chambers, 01017954500",1017954500,"+32.8580358,-085.2066713",0.611689097,0.835823731,0.630223485,0.674654588,0.422453763,0.67167373,0.610446503,0.436547878
117,"AL, Chambers, 01017954600",1017954600,"+32.8362807,-085.1725763",0.590458269,0.827825626,0.543394356,0.596450565,0.439323008,0.658008507,0.622341132,0.445864688
118,"AL, Chambers, 01017954700",1017954700,"+32.7701994,-085.1744758",0.576514919,0.782253775,0.494998946,0.700938686,0.297642716,0.662421527,0.633051059,0.464297722
119,"AL, Cherokee, 01019955701",1019955701,"+34.2324537,-085.5189408",0.576502389,0.686363899,0.518667568,0.64218402,0.294180288,0.699082782,0.729766636,0.465271527
120,"AL, Cherokee, 01019955702",1019955702,"+34.3569596,-085.5688477",0.607652397,0.754758968,0.510641362,0.697646442,0.261851726,0.806393773,0.742628342,0.479646168
121,"AL, Cherokee, 01019955800",1019955800,"+34.2009305,-085.7515148",0.567757213,0.630422303,0.439606567,0.641976858,0.302865085,0.725386039,0.769189613,0.464854025
122,"AL, Cherokee, 01019955900",1019955900,"+34.0328522,-085.6828498",0.590973694,0.75258263,0.450542207,0.704789855,0.346870274,0.66619975,0.754469924,0.461361216
123,"AL, Cherokee, 01019956000",1019956000,"+34.1662695,-085.6538832",0.573923941,0.676639067,0.556884418,0.532903322,0.337427431,0.695267951,0.761935861,0.456409536
124,"AL, Cherokee, 01019956100",1019956100,"+34.0861102,-085.5068516",0.565076694,0.676619698,0.389194893,0.6819956,0.256056767,0.727003571,0.754396476,0.470269855
125,"AL, Chilton, 01021060101",1021060101,"+32.8154498,-086.6415349",0.601482304,0.758553524,0.513855005,0.616171855,0.376342425,0.789743898,0.672801768,0.482907654
126,"AL, Chilton, 01021060102",1021060102,"+32.8695805,-086.6588881",0.611459952,0.762728102,0.572383783,0.590665753,0.39530528,0.783343846,0.688080484,0.487712418
127,"AL, Chilton, 01021060200",1021060200,"+32.8587949,-086.5491633",0.5539428,0.737901087,0.360109328,0.528177328,0.367884175,0.782535151,0.619530967,0.48146156
128,"AL, Chilton, 01021060300",1021060300,"+32.9709197,-086.6061792",0.590296326,0.757194729,0.49681359,0.614606571,0.350529649,0.784314225,0.639971503,0.488644016
129,"AL, Chilton, 01021060401",1021060401,"+32.9251623,-086.7276967",0.598746106,0.729896603,0.481742045,0.642678287,0.353197797,0.777613872,0.716121613,0.489972523
130,"AL, Chilton, 01021060402",1021060402,"+32.9910458,-086.8010803",0.630870516,0.75919956,0.612993713,0.692210937,0.392274564,0.779362127,0.679443446,0.500609264
131,"AL, Chilton, 01021060500",1021060500,"+32.7690636,-086.8954123",0.593866072,0.768755335,0.531987975,0.646023166,0.335059357,0.738656274,0.63020825,0.506372148
132,"AL, Chilton, 01021060600",1021060600,"+32.7727303,-086.7363808",0.57118576,0.678445721,0.535048236,0.55955249,0.330843711,0.767473308,0.629359508,0.497577345
133,"AL, Chilton, 01021060700",1021060700,"+32.7592425,-086.5260002",0.576999671,0.722633916,0.441477194,0.633458873,0.332777123,0.769239571,0.649881654,0.489529365
134,"AL, Choctaw, 01023956700",1023956700,"+32.2700110,-088.2069970",0.585986035,0.720121557,0.590985503,0.649233676,0.298665581,0.546321292,0.798358257,0.498216379
